Category_ID,Category_Name,Video_Title,Channel_Title,View_Count,Like_Count,Comment_Count,Published_At,Thumbnail_URL,Video_ID
17,Sports,스피드를 정식으로 인정한 호날두💀,스피드7,3065607,126191,438,2025-12-19T22:00:53Z,https://i.ytimg.com/vi/clgmYvTT22s/maxresdefault.jpg,clgmYvTT22s
17,Sports,경기를 뒤집어 놓은 관객의 장난,1분 줌인,3357243,91083,671,2025-12-19T03:00:33Z,https://i.ytimg.com/vi/NULL-6DUX2E/maxresdefault.jpg,NULL-6DUX2E
17,Sports,[1000만]공격은 아주 세게 들어옵니다 #KKM #크라브마가 The attack comes in very hard #경북경찰청 #모형칼,사단법인 대한크라브마가협회 (KKM 크라브마가),4625289,73207,2230,2025-12-17T08:06:58Z,https://i.ytimg.com/vi/yo2C-hiiPKc/maxresdefault.jpg,yo2C-hiiPKc
17,Sports,의자 10개를 한번에 뛰어넘으려는 아이쇼스피드,알유스피드?,1217031,35644,163,2025-12-24T02:53:26Z,https://i.ytimg.com/vi/Kr4VV6Ys0sA/maxresdefault.jpg,Kr4VV6Ys0sA
17,Sports,"코치도 못 한 말, 정근우는 했다 #야구쇼츠 #김성근 #정근우 #불꽃야구",야구매니아,1933719,28125,194,2025-12-20T23:47:33Z,https://i.ytimg.com/vi/-MBQtRN6d2U/maxresdefault.jpg,-MBQtRN6d2U
17,Sports,핏빛 사냥꾼 #격투기 #스포츠 #닉디아즈,매거진 시크,1682948,20157,439,2025-12-22T06:17:03Z,https://i.ytimg.com/vi/ryt0C-2vtxE/maxresdefault.jpg,ryt0C-2vtxE
17,Sports,스무스한 스케이드보드,랭킹을확인하세요,881436,9284,42,2025-12-25T00:00:28Z,https://i.ytimg.com/vi/S8ph-0gf13Y/maxresdefault.jpg,S8ph-0gf13Y
17,Sports,명장의 품격🏅#올림픽 #감동사연 #동기부여,AmazingBrother,789528,21430,638,2025-12-24T13:33:49Z,https://i.ytimg.com/vi/DBlP5DOom_Y/maxresdefault.jpg,DBlP5DOom_Y
17,Sports,김동현에 주먹다짐 하자는 깡좋은 하키선수 ㅋㅋ,LEO,1107213,16209,2754,2025-12-23T01:24:48Z,https://i.ytimg.com/vi/ShdfCTk2N88/maxresdefault.jpg,ShdfCTk2N88
17,Sports,마구마구 필살기 현실에서 보면? #야구,래빗야구,1544685,7306,30,2025-12-21T09:00:00Z,https://i.ytimg.com/vi/-H1fMGz3dfI/maxresdefault.jpg,-H1fMGz3dfI
17,Sports,의심스러운 김광현을 검사한 몰리나 심판,숏됐다,1718108,13981,138,2025-12-20T08:30:33Z,https://i.ytimg.com/vi/fDAXDKedKNI/maxresdefault.jpg,fDAXDKedKNI
17,Sports,이 파이터가 심판한테 항의하면서 경기를 중단시키려는 이유,도파민,843250,17396,487,2025-12-23T11:01:26Z,https://i.ytimg.com/vi/lkL7644asdE/maxresdefault.jpg,lkL7644asdE
17,Sports,야구 경기 중... 실제 '지진'이 났던 당시 상황,크보톡 KBO Talk,2055432,19388,384,2025-12-19T11:48:24Z,https://i.ytimg.com/vi/goVdHCehtbI/maxresdefault.jpg,goVdHCehtbI
17,Sports,투수가 던진 사구에 대한 이승엽의 반응,쌍방울,1759386,11563,281,2025-12-19T13:25:38Z,https://i.ytimg.com/vi/OVX_C2TVGmo/maxresdefault.jpg,OVX_C2TVGmo
17,Sports,직업만족도 100%일때 👍👍 #김혜선 #다이어트 #점핑머신 #jumping #diet #shorts #golden,점핑머신 김혜선 jumpingmachine_Kimhyeseon,1384421,18695,1174,2025-12-16T10:01:22Z,https://i.ytimg.com/vi/oION_6kIaOA/maxresdefault.jpg,oION_6kIaOA
17,Sports,18살 한국 고딩 때문에 난리 난 잉글랜드… 레알 마드리드까지 등판,황금공감,975110,22542,723,2025-12-22T13:49:28Z,https://i.ytimg.com/vi/JKp9HyzotwQ/maxresdefault.jpg,JKp9HyzotwQ
20,Gaming,🎅크리스마스 특집🎅 2년만에 돌아온 혜안져스 덕몽어스 근황 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,혜안,594658,32281,5244,2025-12-25T09:59:06Z,https://i.ytimg.com/vi/2hVWSrz1p-Q/maxresdefault.jpg,2hVWSrz1p-Q
20,Gaming,만물상 라이즈,승상싱,444768,7660,674,2025-12-25T07:28:01Z,https://i.ytimg.com/vi/D1NmEmUadaE/maxresdefault.jpg,D1NmEmUadaE
20,Gaming,프리즘 시너지보다 어려운 3다르킨 성공 ㄷㄷ,잡상싱,327767,2800,136,2025-12-25T11:01:10Z,https://i.ytimg.com/vi/_MQ0N3_5mj4/maxresdefault.jpg,_MQ0N3_5mj4
20,Gaming,"메이플키우기 : 지금까지 메이플 키우기를 시청해 주셔서 감사합니다 [팡이요,  메이플스토리 : 메이플키우기]",팡이요,288056,1938,318,2025-12-25T09:30:05Z,https://i.ytimg.com/vi/6r66OQm6Uas/maxresdefault.jpg,6r66OQm6Uas
20,Gaming,언더웹 | 스트리머 실종사건의 비밀,잠뜰 TV,91135,9546,1081,2025-12-26T07:34:37Z,https://i.ytimg.com/vi/zBviYe4_-Mc/maxresdefault.jpg,zBviYe4_-Mc
20,Gaming,[Limbus Company - PV] Chapter.9 - 蜘ノ糸ノ赤 [Kumo no ito • oti on akA],ProjectMoon Official,156778,20610,1982,2025-12-26T10:30:06Z,https://i.ytimg.com/vi/kBidytD71ZQ/maxresdefault.jpg,kBidytD71ZQ
20,Gaming,환장의 호흡,괴물쥐 유튜브,277117,1496,271,2025-12-25T13:30:42Z,https://i.ytimg.com/vi/bmrJraIDXmw/maxresdefault.jpg,bmrJraIDXmw
20,Gaming,오싹오싹 탈출 작전,이도원,221135,6339,303,2025-12-25T07:00:34Z,https://i.ytimg.com/vi/W3gls_JVuiQ/sddefault.jpg,W3gls_JVuiQ
20,Gaming,"핵전쟁 이후, 방사능에 오염된 도시에서 하드코어로 100일 생존하기",알지모,200278,5859,467,2025-12-25T03:00:36Z,https://i.ytimg.com/vi/ROagWZ1CdPA/maxresdefault.jpg,ROagWZ1CdPA
20,Gaming,"🎁크리스마스의 선물 도착🎁| Wolf's Talk wave (feat. UNTARA, PEYZ, GGOGOD)",T1,243520,5817,651,2025-12-25T09:01:19Z,https://i.ytimg.com/vi/kXqePmj3FBI/maxresdefault.jpg,kXqePmj3FBI
20,Gaming,너무 시시하게 끝나면 재미없으니 강도 조절해 준다고 도발하는 상대ㄷㄷ 도대체 얼마나 잘하길래..?,[ALTUBE] 김성현TV,119602,1325,152,2025-12-25T09:30:21Z,https://i.ytimg.com/vi/dJKnAnhAdwk/maxresdefault.jpg,dJKnAnhAdwk
20,Gaming,모두가 3:0으로 질 거라 생각한 결승전.. 저라뎃이 보여준 반전?!｜SLL 결승전 + 인게임 보이스,저라뎃 JUSTLIKETHAT,143270,813,226,2025-12-25T16:24:40Z,https://i.ytimg.com/vi/vKBrkQrwUP0/maxresdefault.jpg,vKBrkQrwUP0
20,Gaming,10초 준다,팔차선 [8LJAYWALKING],164914,1028,104,2025-12-25T09:00:33Z,https://i.ytimg.com/vi/HTA7KG3NAw4/maxresdefault.jpg,HTA7KG3NAw4
20,Gaming,"""분당 CS 12"" 오버파밍으로 미친 성장 후 캐리하는 ""탑 오버파밍 말파이트 전략"" 🗿",전략적죽음,136605,1130,197,2025-12-25T09:45:03Z,https://i.ytimg.com/vi/Sgfb7RM_MV4/maxresdefault.jpg,Sgfb7RM_MV4
20,Gaming,까잡솨,병병병,177209,4854,452,2025-12-25T14:45:49Z,https://i.ytimg.com/vi/JIGfGLIt7-8/maxresdefault.jpg,JIGfGLIt7-8
20,Gaming,🐟99밤인데 물속이면 생기는 일ㅋㅋ첫번째로 죽는사람은 누굴까?🫧,멜로우TV,65661,1532,334,2025-12-26T07:30:05Z,https://i.ytimg.com/vi/6E93A0zidvA/maxresdefault.jpg,6E93A0zidvA
20,Gaming,도대체 이게 무슨 ㅋㅋㅋㅋㅋ,전쓰트의 게임 채널 Junsst,87921,518,53,2025-12-26T03:15:04Z,https://i.ytimg.com/vi/bmJ-Lm3GDlI/maxresdefault.jpg,bmJ-Lm3GDlI
20,Gaming,"""15배 행운""과 ""딸기 돌연변이로"" 진저 딸기 드래곤 도전!! 시크릿 전재산을 넣은 결과는!?!?  (로블록스 브레인롯 훔치기)",말량,55916,1583,176,2025-12-26T07:59:53Z,https://i.ytimg.com/vi/yJnnmBaygoE/maxresdefault.jpg,yJnnmBaygoE
20,Gaming,사소한 천재 [방 탈출 시뮬레이터2],PAKA,320910,2214,630,2025-12-24T08:30:04Z,https://i.ytimg.com/vi/7Px2OUdvDcc/maxresdefault.jpg,7Px2OUdvDcc
